GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,56.7024,207.4545,986.842,0.0,0.0,0.0,-733.1576,-6430.6966,270.1885,3207.1141,-1855.987,43.38968832,-2435.5527,-1812.59731168,-4248.150011680001
1,57.0835,208.363,989.0477,0.0,0.0,0.0,-730.3455,-6461.5673,269.5913,3206.1774,-1830.3899,43.66158624,-2461.6499,-1786.72831376,-4248.378213759999
2,57.3606,208.3108,987.4449,0.0,0.0,0.0,-735.4504,-6462.7247,270.1549,3205.2731,-1831.1677,43.551600480000005,-2469.6307999999995,-1787.61609952,-4257.246899519999
3,57.2758,209.1171,984.8266,0.0,0.0,0.0,-733.3206,-6422.5746,269.0517,3193.6119,-1851.5739,43.417646639999994,-2442.0121,-1808.1562533600002,-4250.16835336
4,57.0245,207.5054,988.3867,0.0,0.0,0.0,-738.7763,-6435.1006,270.6082,3208.3491,-1853.463,43.21656288,-2442.003,-1810.2464371199999,-4252.24943712
5,57.012,207.7466,986.2556,0.0,0.0,0.0,-732.1258,-6429.0092,269.9414,3206.499,-1858.1774,43.489205999999996,-2433.680400000001,-1814.688194,-4248.368594000001
6,57.3467,209.072,985.0136,0.0,0.0,0.0,-736.763,-6432.4749,269.6187,3192.6714,-1839.8962,42.876972720000005,-2455.5155000000004,-1797.01922728,-4252.534727280001
7,56.8936,208.7993,985.3353,0.0,0.0,0.0,-734.1176,-6442.8035,270.0093,3203.7559,-1847.4973,42.91611336,-2452.1277,-1804.58118664,-4256.70888664
8,57.3869,209.4885,987.4289,0.0,0.0,0.0,-735.4292,-6462.6996,270.0805,3202.9367,-1827.0715,42.77453688,-2470.8072999999995,-1784.29696312,-4255.10426312
9,56.9156,207.7388,986.5502,0.0,0.0,0.0,-732.6705,-6432.4364,270.0897,3206.8744,-1854.8416,43.40595096,-2436.938199999999,-1811.43564904,-4248.373849039999
10,57.1705,208.665,986.8289,0.0,0.0,0.0,-735.5742,-6436.1747,269.475,3203.1611,-1847.4611,42.900541919999995,-2446.4483999999998,-1804.56055808,-4251.0089580799995
11,56.9252,209.4858,982.2326,0.0,0.0,0.0,-732.2202,-6432.5004,270.2736,3191.0937,-1843.1913,43.19649648,-2454.709699999999,-1799.99480352,-4254.704503519999
12,56.6611,208.0177,986.7986,0.0,0.0,0.0,-731.7953,-6431.0032,269.792,3206.8445,-1856.0886,43.58827944,-2434.6845999999996,-1812.50032056,-4247.184920559999
13,56.9292,207.7306,988.9235,0.0,0.0,0.0,-738.0761,-6455.6812,270.2634,3206.0543,-1830.4368,42.5009592,-2463.8563000000004,-1787.9358408,-4251.792140800001
14,56.9289,208.3728,983.5402,0.0,0.0,0.0,-734.1774,-6449.8472,270.8328,3201.972,-1839.4694,43.11273672,-2462.3779,-1796.35666328,-4258.73456328
15,56.9705,209.4447,984.3879,0.0,0.0,0.0,-729.4821,-6446.219,269.7927,3204.5455,-1848.6252,43.34568264,-2450.5598,-1805.27951736,-4255.83931736
16,56.8319,207.8068,987.7522,0.0,0.0,0.0,-738.8895,-6436.8416,270.3585,3206.6743,-1849.7591,43.09002792,-2446.3073999999992,-1806.66907208,-4252.976472079999
