GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,56.2717,204.0285,960.9054,0.0,0.0,0.0,-728.6649,-6510.5405,269.1019,3283.529,-1770.0637,43.05769487999999,-2465.3689,-1727.0060051199998,-4192.37490512
1,56.2494,204.4164,962.4495,0.0,0.0,0.0,-731.6463,-6515.5376,269.6101,3284.5862,-1767.5396,43.10067888,-2469.8722999999995,-1724.43892112,-4194.31122112
2,56.2266,204.405,959.775,0.0,0.0,0.0,-719.5817,-6501.4859,267.8593,3282.8825,-1777.3854,43.76895984,-2449.9192,-1733.61644016,-4183.535640159999
3,56.1053,204.1947,960.0534,0.0,0.0,0.0,-723.4743,-6509.4523,268.6305,3283.2019,-1770.0733,43.38168624,-2460.7407999999996,-1726.69161376,-4187.43241376
4,56.258,205.144,962.0646,0.0,0.0,0.0,-732.4316,-6489.3205,270.3251,3271.605,-1776.619,43.1660988,-2456.3554,-1733.4529011999998,-4189.8083012
5,56.2754,205.1633,962.1182,0.0,0.0,0.0,-732.3945,-6490.138,270.3614,3271.8103,-1776.1028,43.16529096,-2456.8039,-1732.93750904,-4189.74140904
6,55.9401,204.5999,961.9826,0.0,0.0,0.0,-727.0043,-6515.9537,269.3955,3284.0994,-1766.3652,43.398455039999995,-2466.9405000000006,-1722.96674496,-4189.907244960001
7,56.3274,204.4872,961.7302,0.0,0.0,0.0,-726.61,-6516.7746,269.2608,3283.7442,-1765.4609,43.435856879999996,-2467.8347999999996,-1722.02504312,-4189.85984312
8,56.4123,204.4609,960.8849,0.0,0.0,0.0,-730.3876,-6516.3744,269.3482,3285.0669,-1768.8121,43.2175284,-2470.5887999999995,-1725.5945716,-4196.183371599999
9,56.19,204.6867,962.4477,0.0,0.0,0.0,-725.5443,-6519.2019,269.3765,3284.8189,-1766.225,43.48166472,-2467.2263999999996,-1722.7433352799999,-4189.96973528
10,56.205,204.6604,962.8202,0.0,0.0,0.0,-730.5934,-6514.1584,269.9646,3283.2867,-1769.2408,43.206810479999994,-2467.8149,-1726.03398952,-4193.84888952
11,56.2117,205.2264,962.1336,0.0,0.0,0.0,-732.4868,-6489.9023,270.3302,3271.7933,-1776.2007,43.1587764,-2456.6938999999998,-1733.0419236,-4189.7358236
12,56.1212,204.2035,961.5861,0.0,0.0,0.0,-725.2984,-6515.4177,269.5663,3283.3719,-1767.1006,43.45888824,-2465.8670999999995,-1723.64171176,-4189.508811759999
13,56.1444,203.9742,961.1401,0.0,0.0,0.0,-724.2981,-6507.0646,268.2809,3284.0627,-1773.509,43.24959504,-2457.7603999999997,-1730.25940496,-4188.019804959999
14,56.3974,204.4826,962.6109,0.0,0.0,0.0,-725.5799,-6519.7158,269.3798,3284.6531,-1765.7473,43.40696328,-2467.7719,-1722.34033672,-4190.1122367200005
15,56.4237,205.1023,963.543,0.0,0.0,0.0,-725.9655,-6518.9344,269.41,3285.2413,-1766.5626,43.36224336,-2465.1796,-1723.2003566399999,-4188.379956639999
16,56.3533,204.3778,961.6462,0.0,0.0,0.0,-726.6049,-6515.3232,269.302,3283.5573,-1766.7225,43.49405952,-2466.6915000000004,-1723.22844048,-4189.919940480001
17,56.2663,204.4185,962.3642,0.0,0.0,0.0,-731.2468,-6514.9101,269.6513,3284.325,-1768.6161,43.163569439999996,-2469.1315999999997,-1725.45253056,-4194.58413056
18,56.6014,204.301,963.5299,0.0,0.0,0.0,-730.7282,-6518.7866,269.6764,3285.4065,-1767.4914,43.072130879999996,-2469.9996,-1724.41926912,-4194.41886912
19,56.5273,204.175,962.4506,0.0,0.0,0.0,-731.5538,-6514.5569,269.7001,3284.1611,-1768.6378,43.14278592,-2469.0965999999994,-1725.49501408,-4194.591614079999
20,56.124,205.0744,962.3167,0.0,0.0,0.0,-733.1386,-6492.1741,270.4386,3271.9926,-1773.312,43.120657439999995,-2459.3663999999994,-1730.1913425599998,-4189.557742559999
21,56.434,204.2064,961.9999,0.0,0.0,0.0,-726.7994,-6505.8299,269.1011,3283.8163,-1777.1394,43.57106568,-2457.0715999999998,-1733.56833432,-4190.639934319999
22,56.3037,204.1533,962.4062,0.0,0.0,0.0,-731.5248,-6515.6892,269.7367,3284.8122,-1767.8216,43.13099303999999,-2469.8019,-1724.69060696,-4194.492506959999
23,56.4189,204.4635,963.3721,0.0,0.0,0.0,-730.1566,-6525.8451,269.5183,3285.0509,-1754.905,43.01188344,-2477.178,-1711.89311656,-4189.07111656
24,55.9893,204.8715,961.2106,0.0,0.0,0.0,-726.6721,-6511.8121,269.6153,3283.538,-1769.6015,43.54572167999999,-2463.2594999999997,-1726.05577832,-4189.31527832
25,56.2126,204.5441,962.6942,0.0,0.0,0.0,-725.6388,-6519.1523,269.4963,3285.0462,-1766.5493,43.47806184,-2466.7976999999996,-1723.07123816,-4189.86893816
26,56.2138,204.4014,962.4155,0.0,0.0,0.0,-731.3228,-6515.694,269.716,3284.2834,-1767.7543,43.171407359999996,-2469.9867,-1724.58289264,-4194.56959264
27,56.3654,204.3918,961.2979,0.0,0.0,0.0,-722.7544,-6512.9839,268.5473,3284.4835,-1770.1063,43.2907308,-2460.6524000000004,-1726.8155692,-4187.4679692
28,56.1331,204.5525,961.8373,0.0,0.0,0.0,-730.543,-6517.7726,269.6662,3285.1558,-1766.5306,42.91148304,-2470.9707000000003,-1723.6191169600002,-4194.58981696
29,56.5014,204.2773,964.0021,0.0,0.0,0.0,-727.839,-6545.428,270.0711,3283.701,-1744.6453,43.00089552,-2494.7141,-1701.6444044799998,-4196.35850448
30,56.2709,205.214,962.1895,0.0,0.0,0.0,-732.8515,-6490.571,270.3181,3271.54,-1774.9159,43.12259424,-2457.8899999999994,-1731.79330576,-4189.68330576
31,56.3455,204.1813,961.1698,0.0,0.0,0.0,-728.7037,-6509.517,269.2388,3282.7632,-1770.691,43.093483920000004,-2464.5220999999997,-1727.59751608,-4192.11961608
32,56.5217,205.496,964.2771,0.0,0.0,0.0,-726.5985,-6516.3884,269.3383,3284.703,-1768.2056,43.38709632,-2462.650799999999,-1724.81850368,-4187.469303679999
