GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,56.7253,206.658,985.3317,0.0,0.0,0.0,-739.4551,-6545.1478,271.029,3232.397,-1776.2229,43.63374744,-2532.4618999999993,-1732.58915256,-4265.051052559999
1,57.5069,207.0216,984.648,0.0,0.0,0.0,-741.3107,-6523.7585,269.6597,3228.9996,-1788.4207,43.1652924,-2517.2334,-1745.2554076,-4262.4888076
2,57.5333,207.0507,981.9744,0.0,0.0,0.0,-736.8033,-6540.6186,271.1867,3232.6392,-1784.8257,43.63883208,-2527.037599999999,-1741.1868679200002,-4268.224467919999
3,57.0852,207.7607,984.0278,0.0,0.0,0.0,-745.8712,-6543.8298,271.4542,3223.6776,-1767.6077,43.053534719999995,-2545.6955000000007,-1724.55416528,-4270.24966528
4,56.7391,207.5498,986.4544,0.0,0.0,0.0,-739.4546,-6580.8556,270.7833,3251.4761,-1765.9801,43.22122992,-2547.3075,-1722.75887008,-4270.06637008
5,56.9824,206.8629,985.5499,0.0,0.0,0.0,-741.5561,-6569.0148,270.8487,3246.4289,-1773.1651,43.37549712,-2543.8980999999994,-1729.7896028799998,-4273.68770288
6,56.9952,206.8523,989.1139,0.0,0.0,0.0,-745.4641,-6586.4948,271.025,3252.1005,-1760.6405,42.85435752,-2555.8720000000008,-1717.78614248,-4273.658142480001
7,57.2659,207.1582,990.1128,0.0,0.0,0.0,-750.5194,-6572.9552,271.9011,3231.94,-1745.4906,42.651921599999994,-2565.0966000000003,-1702.8386784000002,-4267.9352784
8,57.2804,206.5074,985.421,0.0,0.0,0.0,-740.5951,-6559.9849,271.2839,3228.4719,-1753.4045,43.08270048,-2551.6154,-1710.32179952,-4261.93719952
9,57.0755,207.9711,985.704,0.0,0.0,0.0,-746.7237,-6568.1069,272.2192,3233.037,-1755.6185,43.15291992,-2558.8238000000006,-1712.46558008,-4271.28938008
10,57.5247,206.4615,981.632,0.0,0.0,0.0,-739.248,-6564.634,271.449,3234.3977,-1771.78,43.110060479999994,-2552.417100000001,-1728.66993952,-4281.087039520001
11,57.5682,206.0593,984.5703,0.0,0.0,0.0,-744.9821,-6507.7993,270.283,3218.5195,-1791.0226,43.35294456,-2515.7810999999997,-1747.66965544,-4263.45075544
12,56.9654,207.241,985.1198,0.0,0.0,0.0,-745.8115,-6554.6243,271.0832,3232.4884,-1766.3889,43.2950904,-2547.5380000000005,-1723.0938096,-4270.6318096
13,57.0437,206.8899,984.6153,0.0,0.0,0.0,-747.2395,-6552.3093,272.0524,3229.3033,-1764.644,43.36720272,-2549.6442,-1721.27679728,-4270.92099728
14,57.4007,207.1658,983.8259,0.0,0.0,0.0,-739.6465,-6571.0595,271.4642,3236.1834,-1760.4181,42.76017936,-2554.666,-1717.6579206400002,-4272.32392064
15,57.2305,206.9684,985.9347,0.0,0.0,0.0,-743.5048,-6568.6766,271.0147,3246.8047,-1772.8957,43.23091607999999,-2544.2283999999995,-1729.66478392,-4273.8931839199995
16,57.0664,207.3164,984.8895,0.0,0.0,0.0,-741.3818,-6550.9422,271.4761,3227.9668,-1763.3829,43.54138152,-2543.6088,-1719.84151848,-4263.4503184800005
17,57.3438,207.1663,984.917,0.0,0.0,0.0,-746.5644,-6556.8051,271.8113,3227.2327,-1759.7598,42.6264264,-2554.8983999999996,-1717.1333736000001,-4272.0317736
18,57.209,208.1011,988.2241,0.0,0.0,0.0,-745.9741,-6577.9692,270.6188,3237.7862,-1748.0435,42.94850039999999,-2562.0040999999997,-1705.0949996,-4267.0990996
19,57.3663,207.0004,983.6291,0.0,0.0,0.0,-740.6023,-6573.2141,271.4537,3247.8529,-1776.2487,43.08442776,-2546.514,-1733.1642722400002,-4279.67827224
20,57.1956,207.2903,980.0703,0.0,0.0,0.0,-742.4549,-6549.1421,271.7361,3231.8257,-1767.5742,43.33658544,-2543.479,-1724.23761456,-4267.71661456
21,57.3342,207.3046,984.9574,0.0,0.0,0.0,-744.3027,-6550.7757,271.4855,3246.7388,-1787.2699,43.27447104,-2527.2579000000005,-1743.99542896,-4271.2533289600005
22,57.5039,208.8441,979.4341,0.0,0.0,0.0,-735.6732,-6575.4028,271.8293,3239.6551,-1767.3734,43.09802928,-2553.8094999999994,-1724.27537072,-4278.084870719999
23,56.8862,206.3115,987.1138,0.0,0.0,0.0,-744.9616,-6548.562,271.1627,3230.9937,-1769.6894,43.08328584,-2541.0557,-1726.60611416,-4267.66181416
24,57.2693,206.9955,983.1457,0.0,0.0,0.0,-748.2441,-6549.0014,272.3172,3230.5372,-1767.1325,43.369260479999994,-2546.9805999999994,-1723.7632395199998,-4270.74383952
25,57.0998,206.3628,988.2081,0.0,0.0,0.0,-744.5803,-6574.4025,270.8984,3246.4866,-1764.3873,43.0526412,-2549.9271,-1721.3346588000002,-4271.2617588
26,57.0048,207.4182,982.9496,0.0,0.0,0.0,-743.5215,-6523.6201,271.073,3228.4247,-1782.9097,43.6373244,-2520.2713,-1739.2723756,-4259.5436756
27,57.2987,207.5538,984.9751,0.0,0.0,0.0,-749.4799,-6539.1825,271.3216,3233.189,-1774.2998,43.0038504,-2534.3241999999996,-1731.2959496,-4265.620149599999
28,57.1014,207.5215,980.9572,0.0,0.0,0.0,-746.0778,-6549.1514,271.8237,3229.786,-1770.0554,42.9383196,-2548.0393999999997,-1727.1170803999998,-4275.1564804
29,57.1343,207.3727,982.2006,0.0,0.0,0.0,-740.958,-6532.7825,271.2097,3224.3004,-1771.9803,43.468788239999995,-2531.5227999999997,-1728.5115117599998,-4260.03431176
30,57.3333,207.3372,982.3881,0.0,0.0,0.0,-736.7978,-6575.9824,271.2505,3239.2112,-1759.8446,43.049190239999994,-2555.2598999999996,-1716.79540976,-4272.05530976
31,57.3317,206.2813,980.5673,0.0,0.0,0.0,-737.6565,-6535.0378,270.5637,3221.9819,-1772.319,43.44411672,-2535.9684,-1728.87488328,-4264.84328328
32,57.1977,206.7581,984.0989,0.0,0.0,0.0,-747.8361,-6552.6162,272.1815,3229.3565,-1762.4849,43.251443280000004,-2550.8596000000007,-1719.2334567199998,-4270.093056720001
33,56.8332,207.9743,981.3674,0.0,0.0,0.0,-738.5823,-6534.3657,271.7037,3227.8133,-1782.687,44.0145792,-2527.2561000000005,-1738.6724207999998,-4265.9285208
34,57.4458,207.7694,984.5298,0.0,0.0,0.0,-746.4205,-6540.5551,271.4072,3226.1843,-1769.5366,42.98900976,-2539.6391000000003,-1726.5475902399999,-4266.18669024
35,58.0382,207.5118,981.5241,0.0,0.0,0.0,-741.5273,-6561.4403,272.0982,3238.9069,-1772.3401,42.9033168,-2544.8884,-1729.4367831999998,-4274.3251832
36,57.5842,207.2696,988.6207,0.0,0.0,0.0,-744.1472,-6606.8266,271.4997,3242.9983,-1739.7179,42.22604303999999,-2583.0013,-1697.4918569600002,-4280.493156959999
37,57.224,206.873,983.4932,0.0,0.0,0.0,-747.7381,-6513.9907,271.3462,3221.0945,-1785.7365,43.233858,-2521.6979,-1742.502642,-4264.2005420000005
38,56.9409,207.363,983.8726,0.0,0.0,0.0,-746.0956,-6547.8461,271.9767,3228.818,-1769.1732,43.487361359999994,-2544.9704999999994,-1725.68583864,-4270.656338639999
39,57.1363,208.2161,985.5172,0.0,0.0,0.0,-747.3685,-6559.2527,271.6616,3233.6355,-1762.8055,43.1573004,-2550.4544999999994,-1719.6481996,-4270.102699599999
40,58.0398,207.6576,982.7547,0.0,0.0,0.0,-743.5557,-6579.8784,271.8744,3242.4522,-1758.6213,42.45946056,-2560.6554,-1716.16183944,-4276.817239440001
41,56.8769,205.4935,987.0569,0.0,0.0,0.0,-737.3585,-6560.5451,270.9816,3249.7142,-1787.3407,43.576084800000004,-2527.7805000000003,-1743.7646152,-4271.5451152000005
42,57.3665,206.986,983.2774,0.0,0.0,0.0,-748.4097,-6527.2359,271.499,3228.5839,-1779.8026,43.37461728,-2527.9328,-1736.42798272,-4264.360782719999
43,57.604,207.3045,982.2845,0.0,0.0,0.0,-741.6564,-6575.1611,271.5412,3239.119,-1761.2642,42.70460472,-2558.9643,-1718.5595952800002,-4277.52389528
44,57.2607,208.1906,984.4196,0.0,0.0,0.0,-744.5592,-6581.9759,271.0343,3245.8316,-1764.0808,42.72341904,-2559.7983,-1721.35738096,-4281.15568096
45,56.9048,206.8872,982.6517,0.0,0.0,0.0,-742.8587,-6512.2749,271.1765,3220.9713,-1786.6545,43.60799304,-2516.5421000000006,-1743.04650696,-4259.588606960001
46,56.888,206.6783,986.7688,0.0,0.0,0.0,-745.0301,-6551.1945,270.9269,3232.3623,-1767.5656,43.18162992,-2542.600299999999,-1724.38397008,-4266.984270079999
47,56.5858,206.2948,984.3963,0.0,0.0,0.0,-742.3459,-6548.4753,270.8177,3229.6934,-1763.4926,43.4081592,-2543.0332,-1720.0844408,-4263.117640799999
48,57.2711,207.506,983.4229,0.0,0.0,0.0,-740.2178,-6564.1947,272.0024,3233.3835,-1758.7759,43.23776256,-2550.8265999999994,-1715.5381374400001,-4266.364737439999
