GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,57.2005,206.8961,991.1292,0.0,0.0,0.0,-737.8614,-6495.7933,271.6627,3281.0623,-1963.474,42.958439999999996,-2425.703900000001,-1920.5155599999998,-4346.21946
1,57.4143,206.411,991.1584,0.0,0.0,0.0,-742.3855,-6497.1725,272.2884,3282.2165,-1963.9117,42.61409568,-2430.069399999999,-1921.2976043200001,-4351.367004319999
2,57.1917,206.4074,990.3753,0.0,0.0,0.0,-743.2244,-6491.1997,271.9577,3279.8725,-1965.3976,42.722899919999996,-2428.6195000000002,-1922.67470008,-4351.29420008
3,57.1743,206.3103,989.552,0.0,0.0,0.0,-735.8779,-6522.4176,271.7824,3279.7234,-1943.8094,42.98655456,-2453.7531,-1900.82284544,-4354.57594544
4,57.1813,206.3229,990.2605,0.0,0.0,0.0,-735.738,-6514.5509,271.9588,3281.2008,-1950.3908,42.82028136,-2443.3645999999994,-1907.5705186399998,-4350.935118639999
5,57.0775,206.4115,990.2926,0.0,0.0,0.0,-743.8249,-6490.7479,272.1096,3279.7585,-1965.0751,42.61451975999999,-2428.923100000001,-1922.4605802400001,-4351.383680240001
6,56.8608,206.8402,989.8505,0.0,0.0,0.0,-740.0186,-6478.8907,271.6804,3279.3277,-1984.6095,43.02349704,-2414.3496999999998,-1941.58600296,-4355.93570296
7,57.1303,206.6773,989.3835,0.0,0.0,0.0,-737.3298,-6492.8379,271.4081,3276.9872,-1959.2389,42.96569904,-2428.5813000000003,-1916.2732009600002,-4344.85450096
8,57.1738,206.5948,988.375,0.0,0.0,0.0,-736.7157,-6503.6879,270.7006,3279.5775,-1953.7411,43.0689564,-2437.9819,-1910.6721436,-4348.6540436
9,57.0257,206.5845,990.1664,0.0,0.0,0.0,-739.3076,-6489.8487,271.4441,3278.847,-1963.5903,42.958118879999994,-2425.0885999999996,-1920.63218112,-4345.72078112
10,57.3224,206.2699,990.3226,0.0,0.0,0.0,-743.5247,-6492.1334,272.0225,3280.1836,-1964.4301,42.66247464,-2429.5371,-1921.76762536,-4351.30472536
11,57.2239,206.1711,988.93,0.0,0.0,0.0,-736.073,-6509.2418,271.3805,3278.6541,-1951.0624,42.89303808,-2442.9552,-1908.16936192,-4351.12456192
12,57.2266,206.412,990.7167,0.0,0.0,0.0,-736.4619,-6511.3984,271.4416,3278.2692,-1952.0682,42.9036228,-2443.7942,-1909.1645772,-4352.9587771999995
13,56.9007,207.042,987.9799,0.0,0.0,0.0,-732.9115,-6499.8793,270.9486,3281.942,-1969.4289,43.4484504,-2427.9776,-1925.9804496000002,-4353.9580496
14,57.03,206.5464,990.1346,0.0,0.0,0.0,-738.9981,-6491.0501,271.4497,3279.0918,-1963.2949,42.930594,-2425.7956999999997,-1920.3643060000002,-4346.160005999999
15,57.2766,206.7627,990.8618,0.0,0.0,0.0,-744.7454,-6508.2174,272.0273,3280.0546,-1947.1711,42.51288096,-2445.9798000000005,-1904.65821904,-4350.6380190400005
16,57.0166,206.3708,990.666,0.0,0.0,0.0,-739.2166,-6491.6952,271.5221,3279.0564,-1962.8088,42.955722,-2426.2799,-1919.853078,-4346.132978000001
17,57.1167,206.7148,989.7109,0.0,0.0,0.0,-740.46,-6494.024,271.6675,3284.9221,-1977.4625,42.94149624,-2424.3520000000008,-1934.52100376,-4358.873003760001
18,57.3047,206.5198,990.9303,0.0,0.0,0.0,-741.7028,-6495.4173,272.2752,3282.118,-1966.1172,42.68899872,-2427.9721000000004,-1923.42820128,-4351.40030128
19,57.3732,205.3927,990.6933,0.0,0.0,0.0,-742.4065,-6508.5893,272.074,3278.832,-1951.5525,42.55512263999999,-2446.6306,-1908.99737736,-4355.62797736
20,57.3683,207.0363,990.8198,0.0,0.0,0.0,-746.083,-6595.3627,271.7815,3283.0074,-1869.1131,41.54823216,-2531.4323999999992,-1827.56486784,-4358.997267839999
21,57.2577,206.5821,990.4803,0.0,0.0,0.0,-743.9041,-6491.513,271.8937,3279.7879,-1964.4458,42.60500064,-2429.4154000000003,-1921.84079936,-4351.25619936
22,57.3916,207.5049,990.9027,0.0,0.0,0.0,-738.0057,-6496.1005,271.3946,3280.5155,-1962.2823,42.89175072,-2426.3969,-1919.3905492800002,-4345.78744928
23,57.5115,205.9005,991.4188,0.0,0.0,0.0,-741.7493,-6512.8896,272.2367,3280.8813,-1951.4965,42.514272,-2446.6901,-1908.982228,-4355.672328
24,57.3891,206.5543,991.1255,0.0,0.0,0.0,-742.336,-6497.4761,272.2725,3281.9245,-1963.5025,42.60583296,-2430.5461999999998,-1920.89666704,-4351.442867039999
25,57.2733,206.3153,990.3127,0.0,0.0,0.0,-743.4263,-6492.1993,272.0649,3280.0603,-1964.3736,42.64420536,-2429.5990999999995,-1921.72939464,-4351.328494639999
26,56.9986,206.8429,988.3235,0.0,0.0,0.0,-739.5777,-6493.5061,271.1167,3279.845,-1971.6588,43.16256216,-2429.9571,-1928.4962378399998,-4358.45333784
27,57.3441,205.3574,990.6001,0.0,0.0,0.0,-742.4616,-6508.608,272.0667,3278.9803,-1951.5168,42.54639624,-2446.7209999999995,-1908.9704037600002,-4355.69140376
28,57.3293,206.3067,990.3896,0.0,0.0,0.0,-743.5022,-6492.1341,271.9777,3280.0281,-1964.3712,42.66117864,-2429.6049,-1921.7100213600002,-4351.31492136
29,57.3768,206.2369,990.362,0.0,0.0,0.0,-743.2392,-6490.8328,271.9317,3280.0257,-1965.8881,42.7138992,-2428.1389,-1923.1742007999999,-4351.3131008
30,57.2046,206.8611,990.508,0.0,0.0,0.0,-739.0856,-6484.2186,271.968,3281.049,-1983.3072,43.02771552,-2415.7135000000007,-1940.27948448,-4355.992984480001
31,56.8218,205.912,989.5597,0.0,0.0,0.0,-740.9472,-6523.0451,271.8444,3278.9964,-1931.4965,42.61947696,-2460.858,-1888.87702304,-4349.735023040001
32,56.8853,206.5915,991.1224,0.0,0.0,0.0,-743.0975,-6504.9477,272.0844,3280.2868,-1956.3882,42.688069920000004,-2441.0748000000003,-1913.70013008,-4354.774930080001
33,57.2186,206.8552,988.4785,0.0,0.0,0.0,-736.8046,-6492.3612,271.1496,3279.1881,-1964.9363,43.19107631999999,-2426.275800000001,-1921.74522368,-4348.02102368
