GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,57.4745,207.957,986.4753,0.0,0.0,0.0,-725.1312,-6386.128,270.3302,3195.1806,-1955.8026,43.889132880000005,-2393.8415999999993,-1911.91346712,-4305.755067119999
1,57.6208,207.8348,985.2018,0.0,0.0,0.0,-728.1688,-6411.5731,271.8307,3199.3318,-1939.5774,43.92636408,-2417.9220000000005,-1895.65103592,-4313.573035920001
2,57.5316,208.1257,988.9328,0.0,0.0,0.0,-726.8628,-6398.251,270.6995,3195.2077,-1945.3081,43.31387952,-2404.616500000001,-1901.99422048,-4306.610720480001
3,57.3071,208.0155,987.0196,0.0,0.0,0.0,-727.8457,-6387.5099,271.5357,3202.3579,-1958.0891,43.56358704,-2389.1197999999995,-1914.52551296,-4303.6453129599995
4,57.341,207.2824,984.6304,0.0,0.0,0.0,-725.5196,-6396.8071,270.6908,3199.9736,-1944.8195,43.847432639999994,-2402.4085,-1900.97206736,-4303.38056736
5,57.4174,208.2607,983.3708,0.0,0.0,0.0,-726.6801,-6341.455,269.9923,3181.2461,-1977.3864,44.0290872,-2367.8478,-1933.3573128,-4301.2051128
6,57.5136,208.2186,983.06,0.0,0.0,0.0,-726.9443,-6338.9103,269.9238,3181.1919,-1978.979,44.01726408,-2365.9467000000004,-1934.9617359200001,-4300.908435920001
7,57.4003,208.0529,983.0398,0.0,0.0,0.0,-726.6563,-6339.3004,270.1003,3181.6281,-1979.1465,44.02946016,-2365.7353000000003,-1935.11703984,-4300.85233984
8,57.5299,207.9362,986.1565,0.0,0.0,0.0,-725.5247,-6383.4069,270.2544,3195.5033,-1957.7497,43.84644336,-2391.5513000000005,-1913.90325664,-4305.45455664
9,57.4614,207.949,989.8898,0.0,0.0,0.0,-728.4867,-6393.5296,270.8026,3194.754,-1947.4428,43.257181679999995,-2401.1594999999998,-1904.18561832,-4305.3451183199995
10,57.433,207.6618,984.6929,0.0,0.0,0.0,-726.4541,-6378.137,270.2966,3195.6281,-1960.0191,43.889437439999995,-2388.8787,-1916.12966256,-4305.008362560001
11,57.2535,207.9223,983.2837,0.0,0.0,0.0,-726.9398,-6339.963,270.2305,3181.9387,-1978.766,44.01682992,-2366.2741,-1934.74917008,-4301.02327008
12,57.8604,207.903,981.9142,0.0,0.0,0.0,-728.0308,-6350.9885,270.7513,3187.2099,-1978.9916,44.08210152,-2373.380500000001,-1934.9094984800001,-4308.2899984800015
13,57.5133,207.9523,987.0187,0.0,0.0,0.0,-725.1354,-6389.5916,270.4994,3195.3523,-1953.2585,43.827024959999996,-2396.391,-1909.43147504,-4305.8224750399995
14,57.6477,207.9137,988.4436,0.0,0.0,0.0,-727.38,-6396.8991,270.6579,3195.079,-1945.1021,43.24899816,-2404.5371999999993,-1901.8531018400001,-4306.390301839999
15,57.5829,208.0503,981.099,0.0,0.0,0.0,-723.5089,-6344.4513,270.593,3183.1598,-1980.7059,44.32869288,-2367.4752000000003,-1936.3772071199999,-4303.85240712
16,57.6867,208.12,981.3487,0.0,0.0,0.0,-723.1399,-6344.8487,270.3854,3182.8726,-1981.0999,44.31912696,-2367.575199999999,-1936.78077304,-4304.355973039998
17,57.286,208.0815,984.1462,0.0,0.0,0.0,-728.84,-6355.0228,270.6004,3186.2528,-1971.3383,44.03741616,-2377.495899999999,-1927.3008838399999,-4304.796783839999
18,57.5585,208.0603,982.3063,0.0,0.0,0.0,-728.2339,-6347.2611,270.9072,3183.6616,-1979.6975,44.26213464,-2373.0011,-1935.43536536,-4308.43646536
19,57.9575,207.7338,987.4661,0.0,0.0,0.0,-725.6827,-6403.7223,271.2549,3199.3596,-1947.2326,43.14122784,-2405.633100000001,-1904.09137216,-4309.724472160001
20,57.654,208.0297,984.589,0.0,0.0,0.0,-721.9481,-6391.8568,270.8145,3196.6021,-1956.868,44.18014824,-2396.115599999999,-1912.6878517599998,-4308.80345176
21,57.2804,208.6847,981.7185,0.0,0.0,0.0,-728.5197,-6334.1036,270.5695,3185.0472,-1986.1984,43.93282968,-2359.3230000000012,-1942.26557032,-4301.588570320001
